,age,content_count,cover_photo,days_won,followers,ideology,user_index,joined,last_visit,location,name,profile_photo,rank,religion,rep
0,23,447,https://fascistforge.com/uploads/monthly_2018_05/coverphoto.jpg.fb96c175099e193205e846e29e62df51.jpg,60,41,Fascism,1,2018-05-08T22:41:13Z,2019-09-07T16:02:39Z,Los Angeles,Mathias,https://fascistforge.com/uploads/monthly_2019_01/VbDx1dh.png.0424ae215dae5b1bc21d02430fdd68c9.png,Administrator,Arioperennialism,467
1,,0,https://fascistforge.com/uploads/set_resources_3/84c1e40ea0e759e3f1505eb1788ddf3c_pattern.png,0,0,,2,2018-05-09T01:59:21Z,,,The Forge,https://fascistforge.com/uploads/monthly_2018_05/200x200.png.dc7e874e6efd83f4a4e4b0d6ec95fd11.png,The Forge,,0
2,,1,https://fascistforge.com/uploads/monthly_2018_05/tumblr_omneb4aVmv1r9kp8no1_1280.jpg.81db9025960a51da614005b081ff2e92.jpg,0,0,American Futurism,7,2018-05-11T02:13:02Z,2018-07-24T13:12:48Z,,Johnny F.,https://fascistforge.com/uploads/monthly_2018_05/download.jpg.848d36785d0c671daa0f32037a661c8b.jpg,Newcomer,Nietzschean,2
3,,4,https://fascistforge.com/uploads/set_resources_3/84c1e40ea0e759e3f1505eb1788ddf3c_pattern.png,2,0,Testing,9,2018-05-11T11:17:34Z,2019-07-09T05:34:43Z,,Testuser,https://fascistforge.com/uploads/set_resources_3/84c1e40ea0e759e3f1505eb1788ddf3c_default_photo.png,Newcomer,Testing,22
4,,0,https://fascistforge.com/uploads/monthly_2018_05/bandits.jpg.edc84c03655064f880f5fbc9582b702f.jpg,0,1,Fascism,10,2018-05-13T03:03:57Z,2019-02-04T05:07:43Z,,Curbstomp,https://fascistforge.com/uploads/monthly_2018_05/Capture1.JPG.f51b699161a8700f09ba2f05e765a714.JPG,Newcomer,Aryan Paganism,0
5,,9,https://fascistforge.com/uploads/monthly_2018_05/Lovech3.png.4f6cfd235727d937b650972ff806615b.png,0,0,FASCISM,11,2018-05-14T01:27:36Z,2018-07-10T20:46:38Z,,Ironside,https://fascistforge.com/uploads/monthly_2018_05/image.jpg.3053eeaa91360edc2fec516f7bbc5b4d.jpg,Mengele Victim,Indo-Aryan Paganism,-1
6,,1,https://fascistforge.com/uploads/monthly_2018_05/PSX_20180513_215049.jpg.000edb6d37a23acc315994a5d682f693.jpg,0,0,National Socalist,13,2018-05-14T02:19:55Z,2018-06-21T01:52:53Z,,Chronik,https://fascistforge.com/uploads/monthly_2018_05/PSX_20180513_215049.jpg.37b4416534f5c04abbfcd719b0257fcd.jpg,Member,Esoteric Hitlerism,1
7,,0,https://fascistforge.com/uploads/set_resources_3/84c1e40ea0e759e3f1505eb1788ddf3c_pattern.png,0,0,National Socialism,14,2018-05-14T03:01:19Z,2018-05-17T19:48:25Z,,Mr.Legion,https://fascistforge.com/uploads/set_resources_3/84c1e40ea0e759e3f1505eb1788ddf3c_default_photo.png,Newcomer,Germanic Paganism,0
8,,2,https://fascistforge.com/uploads/monthly_2018_05/kalkiedit2.png.ff2d42027e12d3e96a34917d7b65930d.png,1,0,National Socialism,16,2018-05-14T12:54:35Z,2018-07-01T07:59:42Z,,TheServantsofKalki,https://fascistforge.com/uploads/monthly_2018_05/kalki.png.d641b2906d670fc32216a06f229570c3.png,Member,Pagan,2
9,,2,https://fascistforge.com/uploads/monthly_2018_05/zLez5s0.jpg.d9a02f6200cb575f5e284fab4c260294.jpg,2,0,Fascist,17,2018-05-15T21:56:16Z,2018-06-17T15:52:34Z,,Serbon,https://fascistforge.com/uploads/monthly_2018_05/sketch-1526815191931.png.6ce1854274eaaf995b58c6909ee76630.png,Member,Orthodox Christianity,2
10,,1,https://fascistforge.com/uploads/set_resources_3/84c1e40ea0e759e3f1505eb1788ddf3c_pattern.png,0,0,National socialism,20,2018-05-27T16:39:03Z,2018-05-27T17:41:52Z,,Natural selector,https://fascistforge.com/uploads/monthly_2018_05/DazyQVxXkAA8AdH.png.555295845939270a592e40b1c11d208a.png,Newcomer,Perennialism,2
11,,2,https://fascistforge.com/uploads/monthly_2018_05/dream_7pmugtyaxgm.jpg.4c9b1896e1cf13982b837900dd293148.jpg,0,0,Integralist,21,2018-05-27T17:29:45Z,2018-05-27T17:37:19Z,,null-1,https://fascistforge.com/uploads/monthly_2018_05/1832451031_vexprofilepic.jpg.e8dc266c1c520c069a49a151173d07ed.jpg,Mengele Victim,Creativity,0
12,,1,https://fascistforge.com/uploads/monthly_2018_05/epicisis2.jpg.082a4ae7f6a7e9291d34862398cca6f2.jpg,0,0,Salafi National Socialism,22,2018-05-27T18:51:16Z,2018-05-27T22:59:16Z,,Al-Masih ad-Dajjal,https://fascistforge.com/uploads/monthly_2018_05/mashallah1.png.cc97b162eacd27f2f38b20ba1653ac04.png,Mengele Victim,Salafi Islam,0
13,,1,https://fascistforge.com/uploads/set_resources_3/84c1e40ea0e759e3f1505eb1788ddf3c_pattern.png,1,0,National Socialism,23,2018-05-27T22:34:03Z,2018-05-31T04:21:56Z,,Seagull,https://fascistforge.com/uploads/set_resources_3/84c1e40ea0e759e3f1505eb1788ddf3c_default_photo.png,Newcomer,Aryan Polytheism,2
14,,0,https://fascistforge.com/uploads/monthly_2018_05/hangmans-noose-falling-into-frame-at-120-fps-against-black-background_b4wvirgfg_thumbnail-full04.png.6251c0e7caf77f973be89fe8e1dc1847.png,0,0,National Socialism,24,2018-05-28T07:07:39Z,2018-06-22T00:52:51Z,,Hangman,https://fascistforge.com/uploads/monthly_2018_05/244337419_lornknife.jpg.50b534c88876ad20e3b79aee0eb1a3be.jpg,Newcomer,Esoteric Fascism,0
15,88,25,https://fascistforge.com/uploads/monthly_2018_11/b.png.bf691717a2ab44cebd0bf1338e1f97ed.png,4,0,National socialism,25,2018-05-30T11:15:10Z,2019-04-03T16:24:11Z,Slovakia,Orgoň,https://fascistforge.com/uploads/monthly_2018_05/bhl.png.dc3cb3d919a9dca0aa235296e92e1ee9.png,Member,Gnostic,46
